country,mean,sd,hdi_5,hdi_95
TH,2789.1474085236773,153.5229857328291,2536.678519718267,3039.1320286445375
ID,967.4787799108304,62.63723352031946,858.0443639183599,1061.3665920080819
PH,394.82198984168343,26.002463784231978,352.9808237286228,437.3245690045732
VN,319.0249930401845,24.88300472537977,278.560729714811,359.9579581203172
KH,246.13580529618082,20.498335297808904,212.0520306673428,278.6713966515329
MY,194.28056834072885,16.660415650086335,166.68618571960263,221.15412966129335
MM,129.9333652675825,13.579073961673805,108.290710384298,152.3135341156301
SG,86.92632872921581,10.007640304553572,69.84826874074722,102.5662264774961
LA,50.0576285421996,7.905615359496561,37.11061525779641,62.797932995790475
BN,1.5302077865041668,0.8481584591567738,0.352938479520098,2.617730958473068
IN,754.0557785851412,47.62619103508831,678.7697269096446,836.3723555804978
LK,358.88001022499674,26.98246071584742,316.2302559508565,404.67242983824025
MV,316.7580950122288,23.19177321399153,277.99762917894867,353.24354885040555
BD,75.94985053551962,10.072084637656841,58.303675170031624,91.11252733719961
PK,40.45222938261309,6.2198609303220245,30.3009974395221,50.307037477265936
NP,46.588718109444734,7.28817096466543,34.57453828462602,57.86283925342666
IR,3.1808899136523525,1.2159654350698714,1.291336824977526,4.856255285055758
CN,21.20660623243421,6.206971864268763,11.472172015505429,30.618725362775926
SA,9.37025040762723,2.41617515378955,5.500745257309699,13.060524444130518
YE,4.831712915538542,1.5661551230176063,2.4844784575562695,7.176628929714963
CU,433.20783451846734,31.058541372335267,382.2321184556751,484.16255301124704
DO,194.33235852318447,17.622746295529453,163.87171530500302,221.2057306854448
JM,46.38344971399278,7.284689919335659,35.046870924981306,58.24227456177704
HT,42.025412859003,7.056368715443231,30.88336116551633,53.70106426943827
AG,6.4803215804557235,2.019810986902226,3.2578107033394854,9.46795294521599
BB,11.56607867473618,2.960877177732375,6.776910710007229,15.996108150838152
DM,4.690677722996561,1.7151002109450049,2.0294523566154306,7.144810446749657
PR,5.045139486010978,1.6245256896692943,2.481871781877345,7.4311879067376605
BS,2.813496136952588,1.3297575957464767,0.8790479316560273,4.681790617732822
CW,1.2183286477918724,0.6577372012329208,0.34286577040220045,2.1358202481740998
TT,2.939017520253881,1.1550849139760035,1.21681691222022,4.607309900117773
LC,4.522686300047455,1.6296999449464318,2.1292320338194823,7.0122135769341725
BR,285.83957328414476,24.49034852602458,245.45800295345902,324.5904966607662
CO,138.47934752101006,14.129136303733237,115.71125977570642,161.6077375330033
PY,88.30636667906916,13.6382891673887,66.61906930009722,110.12551970377186
EC,50.921546397522114,8.189585797374466,38.138813871859696,64.3524481415082
VE,39.90012133943008,6.469084062338733,29.450112736668487,50.2467008930885
PE,39.08432351327447,6.0899019831369445,29.312009414818572,48.84629255297495
AR,24.396290008317386,4.939775005807999,16.296046338487113,32.026314729296786
BO,55.958451772103416,10.113476395694073,39.80051778673344,71.97165380122753
GY,15.304237929577685,4.6399001945939675,7.885506331496104,22.00332432567038
CL,5.773724066615221,1.9767656842194203,2.747047456704269,8.771133041446749
MX,276.33449138695994,23.198843961413818,238.0302797622813,313.73672875264657
CR,115.25099688052066,12.982248789002108,94.13880249394832,136.16123275307132
GT,36.09370101994972,6.364547981603363,25.64949949509994,46.02662505686662
NI,25.109396064115852,4.932019678989287,17.068517667658906,32.802904473070555
HN,22.483527456368044,5.317077611551159,13.97173233062716,30.6148143068796
PA,18.30976289121571,4.095511267684965,11.861505961605406,24.936829503227774
BZ,6.272147029058822,1.9989116281956547,3.205088401835899,9.271330903472336
