parameter,mean,sd,hdi_5%,hdi_95%
tau length scale,1.2463858664829794,0.23319406361847694,0.8649905995754815,1.630778885862874
delta scale,0.5581560415907562,0.025836126426328137,0.513990875998323,0.5980749716031971
epsi scale,0.17207985518774627,0.061710534652299594,0.07205416479722467,0.2692866995352662
alpha,3.5499304022053644,0.17845513490798362,3.2613886934124996,3.847780506634962
