country,imported,y_m,y_s,y_l,y_u,SI
DO,137,76.39691666666667,71.73234992656562,4.664566740101051,148.12926659323227,0.4805677057970614
CO,82,68.93891666666667,67.61497682526644,1.3239398414002324,136.5538934919331,0.49347224898372244
NI,47,34.937666666666665,39.53852561887578,-4.600858952209116,74.47619228554245,0.5702485222506539
VE,49,32.696333333333335,36.32573296283138,-3.629399629498046,69.02206629616472,0.6381681756423175
MX,72,58.72358333333334,59.98702843889875,-1.2634451055654097,118.71061177223208,0.6237691107763647
CU,144,151.60233333333332,97.176394373328,54.425938960005325,248.7787277066613,0.5570744254386805
HN,28,21.278916666666667,29.061374791891605,-7.782458125224938,50.34029145855827,0.5568608617275475
BR,65,69.59633333333333,66.70208344084607,2.8942498924872666,136.2984167741794,0.6160940491197135
BO,17,19.492666666666665,33.75563438590566,-14.262967719238993,53.24830105257232,0.7564853212517584
JM,15,28.350666666666665,53.09769802382864,-24.747031357161976,81.44836469049531,0.69203087995571
CR,25,33.00116666666667,40.51951213550791,-7.51834546884124,73.52067880217459,0.7556457197700046
CW,11,11.155833333333334,32.08038455661899,-20.924551223285654,43.23621788995232,0.9874525143867304
EC,24,42.45008333333333,50.59208600472467,-8.142002671391339,93.042169338058,0.6696831330785891
GT,17,27.054333333333332,34.89288593113382,-7.838552597800486,61.94721926446715,0.7576326203249018
HT,11,12.808833333333332,21.33837761927112,-8.529544285937789,34.14721095260445,0.7812156552540024
TH,25,48.205416666666665,49.93114782225558,-1.7257311555889174,98.13656448892225,0.6802456557745613
TT,6,13.445916666666667,35.67810325407339,-22.232186587406723,49.12401992074006,0.58358438575365
PR,7,16.070833333333333,44.032737611651655,-27.961904278318322,60.10357094498499,0.606826801517067
DM,2,1.98425,10.727005728702657,-8.742755728702658,12.711255728702657,0.9960469348057978
BB,9,17.417416666666668,31.898824245592884,-14.481407578926216,49.31624091225955,0.6813686677665303
VN,7,12.612,24.90401994183974,-12.292019941839738,37.51601994183974,0.7138486640832142
SV,5,6.59375,13.463996743743447,-6.870246743743447,20.057746743743447,0.82255525606469
PA,4,6.105416666666667,12.501566916445888,-6.396150249779222,18.606983583112555,0.7916546406630107
PH,9,14.595583333333332,23.80862614914816,-9.213042815814829,38.40420948248149,0.7628334398739876
MV,7,26.199166666666667,46.95759600662809,-20.75842933996142,73.15676267329475,0.4216973317603354
AO,6,10.764916666666666,17.452756955541663,-6.687840288874996,28.21767362220833,0.7157804741051502
PE,4,9.984166666666667,17.91807989042135,-7.933913223754683,27.902246557088016,0.5720755616471008
SL,1,5.264,19.66265632751089,-14.398656327510892,24.92665632751089,0.31928480204342274
CM,7,14.21325,19.908136641929953,-5.694886641929953,34.12138664192995,0.6599648804402908
BF,2,8.908,23.960180938244836,-15.052180938244836,32.868180938244834,0.3667033370003667
CI,1,1.2450833333333333,4.651460042240569,-3.406376708907236,5.896543375573903,0.8908355294903677
KE,1,1.3661666666666668,4.257444370498429,-2.8912777038317623,5.623611037165095,0.8452489962668169
SN,1,1.4231666666666667,5.443467878712017,-4.02030121204535,6.866634545378684,0.8253662562762225
GY,1,1.3075833333333333,5.315649717496452,-4.008066384163119,6.623233050829786,0.866707594525297
CV,2,3.7265,11.072209450300845,-7.345709450300845,14.798709450300844,0.6985069414127303
BJ,1,1.99625,9.578296158751776,-7.582046158751776,11.574546158751776,0.6675010429703797
SG,1,3.8183333333333334,12.625217791400049,-8.806884458066715,16.443551124733382,0.4150812867519889
IN,2,4.587083333333333,12.303118993224684,-7.716035659891351,16.89020232655802,0.6072490353596053
LK,2,8.195083333333333,24.760050358476832,-16.5649670251435,32.95513369181016,0.39234598376668495
MM,1,2.3441666666666667,11.076884377762715,-8.732717711096049,13.421051044429381,0.598056316969848
MY,1,2.398,8.648819697219935,-6.250819697219935,11.046819697219934,0.5885815185403178
KH,2,3.7536666666666667,10.30320110224506,-6.549534435578393,14.056867768911726,0.6952088523260529
ID,3,4.704583333333333,11.79958351094491,-7.095000177611577,16.50416684427824,0.7787572332486075
BS,2,7.842666666666666,23.43563877205712,-15.592972105390455,31.278305438723788,0.406393931183961
PY,1,2.9531666666666667,14.101545863539808,-11.148379196873142,17.054712530206476,0.5059235212277078
AG,2,3.0761666666666665,8.509235161815704,-5.433068495149038,11.585401828482372,0.7879961913517418
CF,1,1.3275833333333333,3.984181861999949,-2.656598528666616,5.311765195333282,0.8592603200744693
