country,mean,sd,hdi_5,hdi_95
GP-FR,176.52151575969427,47.66222706653134,103.89696541304554,246.20531017460337
MQ-FR,140.71459107372507,36.04209970678898,86.65284982648716,197.0339262610294
DO-ES,102.12038513309024,22.801214107843357,67.2610434752856,138.39555261600688
EC-ES,42.29233568620946,10.73936756861461,25.29989303697955,58.445570366078265
CO-ES,70.83904657913,15.817922367839765,45.656662875254085,94.71324900573086
HT-FR,29.700410119574943,10.76299695122718,14.056272952436824,44.656964338077074
DO-DE,38.303064454216376,11.536604894425974,20.6370220619775,55.296110601599445
TH-SE,37.374321832713626,10.260655814474122,22.047410717565068,53.528524701302096
DO-FR,23.455076158922772,8.64032296528748,11.013299061794909,35.81707950480962
IN-DE,57.72358155107205,12.33768508549867,38.18580801463284,77.11456936202424
BO-ES,29.214337111552034,8.879983103814883,15.043418947397061,41.54603908530343
JM-DE,25.050841483347217,9.074240195799522,11.752019659171404,37.958221585020716
CO-DE,27.346164738566603,7.802563954842093,14.751284136870757,38.99243482842122
HN-ES,24.01630739150993,6.83449916150493,13.30713200805252,34.30604250020913
TH-DE,62.58146851647731,13.710054346421993,40.36329932615277,83.3229727239075
VE-ES,27.105876411514448,8.319401178703748,14.484369477410732,39.68670939555503
TH-FR,47.42653133274147,12.613835488908792,28.034761890317668,66.79180974634977
BR-DE,42.484670077140436,9.76785277683217,26.51245902651925,57.253150084580405
HT-ES,13.247586720781394,5.4376090134719846,5.621198567554143,21.110908367070834
BR-FR,46.55595666805399,10.586539014633598,30.2082215601102,63.775163293395856
PF-FR,20.180068319117073,7.147800132124064,9.42712773123625,30.540157208588997
TH-CZ,12.631487893767245,5.023323890287335,5.222245120074375,19.72535110528132
MM-DE,13.38426962184409,4.835241540351148,6.017180938320688,20.413434919879982
CG-FR,13.173422078613847,4.615027308769187,6.274904301621966,20.149317772535667
IN-FR,35.353233507766085,8.794192330481168,21.908177209297754,49.38485974010349
GF-FR,10.21943817604063,4.519256388527963,3.88007197759143,16.6512860112139
VE-DE,15.606203438624059,5.804483271112473,6.8599205041162925,23.98315554677924
NI-DE,24.689223183060967,7.598799742973961,12.837581184427323,35.99094347767458
MM-FR,14.168828444453586,5.022063099572979,6.531082592630809,21.500264398446955
KE-DE,10.804457524726221,4.073066787011907,4.814926409321677,16.85634511735085
IN-ES,14.638025286686805,5.163659867227344,6.881593252005021,22.250104639566924
BD-SE,4.7719350923293264,2.226518859128143,1.5657896228291361,7.842584333354489
BR-ES,27.994724810153286,7.457021151995844,16.190731536294187,39.19281554744088
NI-ES,21.839476321080895,6.357151886245546,11.886211590902297,31.577822806039155
BR-IT,15.691801098620058,5.148029294522694,7.596619789746454,23.220593084245664
TH-AT,12.994845932466236,5.0222584910528845,5.826687152656124,20.422037236250688
TH-ES,15.117067642099721,5.101429223514314,7.226719545552736,22.635936666927893
CO-FR,9.913390499666809,4.137878033326969,3.9465219001850276,15.966033766583507
AO-ES,5.028162742006531,2.793934452600712,1.2934208375858602,8.7975074961333
EC-FR,4.006134863947632,2.221064226259168,1.0485434142804713,6.890287987327325
TH-FI,8.86161179906574,3.981644449617946,2.9940077598756045,14.17324485644749
TH-IT,12.88130209389046,4.835055002025963,5.37310152214588,19.909121313656343
TT-DE,8.19318746343735,3.625066863620626,2.9479742054118483,13.412600618889337
ID-DE,21.69937420461742,6.437402069798189,11.662544567753464,31.523454133116022
MX-FR,5.943701924265507,2.7754496098243804,2.030159748720263,9.791794715299819
CD-FR,8.989155426071855,3.680596454688234,3.3133696719042702,14.081945324680442
HT-DE,9.337735217110726,4.2435124759108565,3.408036965396522,15.156695667176878
DJ-FR,4.6036741360375775,2.2870750313175696,1.5212659181654224,7.812253125410088
MM-ES,4.495466619741826,2.247195874216583,1.3641105350043268,7.616673197980977
GT-ES,6.150980449705472,2.8756307437425743,2.060307738891142,10.112506101110359
LK-DE,5.031797999397747,2.3173703997828556,1.7454420744117605,8.304474717191557
ID-FR,19.138875695196774,5.92615793860156,9.914226184939933,27.995452902517503
MV-DE,4.203444746674953,2.0989323084067366,1.3260053247293335,7.09020360567487
VE-FR,6.46256728042722,3.253781921652963,2.0793485208268674,10.973947905361129
