parameter,mean,sd,hdi_5%,hdi_95%
tau length scale,2.087121148321692,0.5181800795698159,1.2409658427809345,2.902695360168632
delta scale,0.6258445849588073,0.05570424288702288,0.5330380096721217,0.7146434590032051
epsi scale,0.14220662540108356,0.11423021199756976,9.049348605653499e-05,0.29900887322479175
alpha,2.2111913799388216,0.20820535906291449,1.8637822364274719,2.5378263563841106
