country,mean,sd,hdi_5,hdi_95
DO-ES,41.61252533442602,11.370100568031985,24.330267758044116,58.797848741481886
CO-ES,35.60142230849288,8.78433708625523,21.431483738456897,48.39857745610605
NI-ES,21.624298585315508,6.160270634487128,12.091116767373887,30.9005644557232
VE-ES,24.55066951291068,6.709001766088934,13.954656541458261,34.624004092278284
DO-FR,21.220941483989126,5.954365404641882,12.2435008627539,30.443025420280463
MX-FR,16.872174485267646,5.450097496223958,8.63433125834767,24.807729323573973
MX-ES,20.203191170156465,5.793720002025395,10.876529763889213,28.72144089525316
CU-IT,25.81745338695309,6.248691242138488,15.998163301785821,35.418950959969415
CU-ES,35.70508183138895,7.596448356703217,23.969476717147916,47.94582375812034
HN-ES,17.503170409369822,5.349934138365815,9.519796653686207,25.63225126199437
CU-DE,25.901212072487038,6.46715588048615,15.880849305619002,36.101805699849244
CU-FR,19.330772615649195,5.263292873419901,10.91198932330913,27.364068389946794
BR-PT,10.731846636921807,4.0380950955862955,4.8783489070647255,16.45975086910834
BR-ES,16.296841033321275,5.086894256364645,8.52144543937413,23.99695465905004
BR-FR,12.692541699006266,4.486017540907899,5.980851300412299,19.242027936780296
DO-IT,20.67141743253275,6.007772879615781,11.647063503265707,29.759183617824135
BO-ES,13.335267602617188,4.316063375233499,6.833114659900055,19.817707011697827
JM-IT,7.05469446981435,2.692151059806697,3.2800166762076852,11.076254090449071
CR-ES,3.8352839905453693,1.6887284364181345,1.5532662201448528,6.123062345359103
CO-FR,12.707461787780506,4.068283471750051,6.87454966564031,19.21854463559303
MX-IT,11.905630890478536,4.363436437746759,5.3334308963026995,18.25185349619169
CW-DE,2.3543753017064883,1.1070546233744656,0.8591824048935339,3.902317421114597
EC-ES,14.524084685119659,4.441248503473051,7.614978326935084,21.211088494907724
VE-IT,6.404059905596588,2.537721473401278,2.767228097291507,10.110133785620068
BR-IT,13.361145146861386,4.6523420969576925,6.316922217143266,20.16832671972414
GT-FR,8.816792466691115,3.131583626512074,4.147369477719576,13.546172439583977
HT-FR,5.763146456760866,2.3516891378718126,2.378109755225765,9.205504810426545
MX-AT,6.1944054186870146,2.6546742138365427,2.312111496249864,9.939820129226428
NI-FR,7.346116720599896,2.8159125829236245,3.0701953452877024,11.38263036910946
CU-AT,5.151220883878741,2.038443592805439,2.072216843628364,8.027617835487934
CW-AT,2.103302324943193,1.0113322642322256,0.672373484154749,3.461100288575588
EC-DE,4.03889647942962,1.6701760559482979,1.6408795963013483,6.498213263443939
TH-SE,1.7784221153268234,0.8468074969172319,0.5617088691585044,2.9300661729904953
CO-AT,7.091915427858772,2.635395283042425,3.096326748455011,10.996435710632577
DO-AT,8.251572233231576,3.055601681983371,3.6628968927210295,12.771038283988768
NI-AT,4.754118137176276,1.8981968881860567,1.962725839813687,7.571894698419543
TH-ES,3.846491716913597,1.736388974934353,1.2785629229107314,6.280643324114372
JM-FR,2.642553552235971,1.2107264423495216,0.956849174311325,4.404327486756809
CR-FR,10.32518574656392,3.388245667452787,5.030296330247063,15.357346885966406
CR-IT,3.9246997746342878,1.6648567153061655,1.3734456455527884,6.255955838454859
VE-FR,2.9359383940258956,1.3784068904350295,0.9385756721613062,4.838394781439455
HT-IT,4.562489721624093,1.969289578831831,1.7414774099491157,7.414289308708165
BR-AT,5.275959548445632,2.3388225461387617,1.926757810859492,8.618008311875988
TT-IE,4.761485695704174,1.934763731368705,1.8823444517709362,7.617325683389041
BR-IE,6.1651371125669,2.715992116586917,2.2139767491898574,10.018321403947235
PR-ES,5.702646908106328,2.299479836071294,2.2421413919410096,9.08520027203952
DM-FR,2.5139397270013157,1.2361511754185057,0.7325393011451691,4.156111667073049
BB-DE,1.4892301066636786,0.7174289467103184,0.49349271768939784,2.484698312165594
MX-IE,5.79485848488088,2.612921846469096,1.9917392721978224,9.524992758087185
CO-IT,3.0720956742082124,1.41389902417852,1.022119600579954,5.05922214238961
BB-IT,4.758766332587355,1.9962501684490694,1.7565669121928926,7.661666909744506
CR-DE,4.84407282891753,1.9219693475935942,1.9669173611092148,7.665776546890729
VN-ES,2.8746561613796064,1.305357046010366,1.0167306288431304,4.730513408499453
SV-ES,3.7555575662014538,1.6599595704028716,1.352506135991186,6.121863219532558
VN-NO,1.6698812427530745,0.7775286228503052,0.5570547425443585,2.753329998448356
PA-FR,2.667040275745854,1.2551892628533574,0.8954091851265684,4.483930215889962
GT-IT,2.5038878120488803,1.1587772781549341,0.7857120249692523,4.08970852288958
NI-IT,2.6680542409110393,1.2182489895131172,0.9094506451362059,4.395764308865935
PH-ES,5.70337985931805,2.1768581845511576,2.3633751266824365,8.772939839282529
GT-ES,3.7569078152291477,1.6303840701599943,1.326555954323552,6.06035859441562
TH-FR,4.355997362209653,1.9242590932880876,1.5454419445882477,7.185222085945622
CU-EL,6.397881437267389,2.324841228566385,2.902441242940875,9.900180829471575
MV-IT,1.382710473884119,0.7010565875546462,0.39788081519713075,2.3357416265682716
MV-ES,2.990021792867375,1.384117934820615,1.0372587010628291,4.9046856042577325
HN-FR,4.354414694922232,1.953503353420847,1.4593055397717745,7.091029366371529
VE-DE,1.2146538388748238,0.6318076150653383,0.3518112020293423,2.0938535022570246
AO-FR,2.5191579857721695,1.134752928293301,0.8870364689882223,4.162482320828202
HN-IT,2.627087757059837,1.2718861930444438,0.825678967883168,4.381424422840918
PE-DE,1.4425969419875333,0.6912979878856749,0.44789572339532785,2.404308515893403
SL-ES,0.941304686604597,0.5573402661336203,0.20305119253325624,1.671590072707843
PE-FR,2.424871944766961,1.0955998567343148,0.8326940799727733,3.9638432979466263
NI-DE,1.381424020863317,0.7002869290676097,0.41471605443398385,2.3813699012392178
VE-PT,2.4297443849294167,1.1691512970052091,0.7482578253085673,4.051618869978
CM-FR,4.356662396822153,1.815615546507118,1.6126554484197806,6.911098406299824
EC-FR,2.67195882540419,1.222478776391259,0.9418445083308291,4.45395456459581
