parameter,mean,sd,hdi_5%,hdi_95%
tau length scale,2.102786605506281,0.6554864980077408,0.9937258792684289,3.093816186225078
delta scale,0.4689218423802266,0.07060751130869929,0.35630280807183623,0.5869840031388205
epsi scale,0.17965099807877685,0.13054470244362315,1.2340064330126953e-05,0.3617553049861381
alpha,2.7562215522013527,0.37106302086151405,2.1518616170966434,3.3428827053855965
