country,mean,sd,hdi_5,hdi_95
DO,99.88189899189032,15.403607346959237,75.4135005368769,123.91125705904209
CO,66.94111368584707,10.326454647641809,50.62929594922604,83.58725619867575
NI,42.657566607553456,8.03541899089197,30.145895899570775,55.285976180080176
VE,44.56607919357509,8.219919127198521,31.715293414515873,57.445350719090214
MX,66.62145024183708,12.06848116271611,47.975050794899275,86.06366130144525
CU,124.8237481372943,14.16347043579646,102.48643624746772,148.194952769771
HN,24.484672861351893,6.005053871260788,14.981705260555835,33.52476194607189
BR,69.85352373711137,12.554592890202034,50.3775402706227,90.65911436606434
BO,15.975431369779779,4.6198132423101494,8.999625619342561,23.053821523299888
JM,18.187796124887807,4.08407644335855,11.848026101060803,24.658445877052273
CR,27.735905220624197,5.262099498042539,19.307295627081285,35.96451538302799
CW,5.890083664303669,1.8998495636933508,2.968209596627824,8.48239711353936
EC,25.087375941281856,5.353870703070836,16.657684521461164,33.27040173668007
GT,19.902417249344065,4.6563469221290115,12.614518463941128,27.30829747877147
HT,14.14107123418247,3.851633384341538,8.022803086453347,19.96827935432892
TH,29.333239139560362,6.432247553767329,18.65161165299545,39.17046199133587
TT,9.220638827952582,2.7134139183058794,4.981881620867615,13.427782217867938
PR,10.698048212754596,3.053050719763838,5.767025313742637,15.279139029550233
DM,2.5139397270013157,1.2361511754185057,0.7325393011451691,4.156111667073049
BB,14.983787686783852,3.4303753943518407,9.830868071537811,20.8589000929186
VN,10.34019283887263,2.3408905197276115,6.530171494546539,13.877903446789894
SV,8.636149095291843,2.6753651543728068,4.379905926139006,12.597313701251439
PA,5.288707262231754,1.6768725833448366,2.637988136046337,7.777727939813282
PH,10.71811575984277,2.761703226910103,6.241381679202252,14.901626031132007
MV,7.467971561504066,2.1505434563732266,4.119911573102302,10.727569569220183
AO,7.686304922905828,2.0679125759414876,4.500282272978005,10.903755298480771
PE,6.117286182433265,1.7353300734126522,3.404195635092858,8.776566204084487
SL,0.941304686604597,0.5573402661336203,0.20305119253325624,1.671590072707843
CM,8.44128036803237,2.473227819871148,4.443205487396752,12.158476021310491
BF,3.6676122399288356,1.3865030397698928,1.4505373694782153,5.587012009248985
CI,1.045209895765573,0.55330042852009,0.29478009843163966,1.7995634843236294
KE,0.9634201962395094,0.520615463147037,0.24445957678025193,1.6689982421190612
SN,0.9870413165528792,0.5314837252190072,0.27321312303246853,1.7091040722269917
GY,2.480849630249452,1.255798756844447,0.643696226436431,4.121153375924754
CV,3.7564025267006635,1.3934157278495467,1.6829577855630913,5.810288040606416
BJ,0.9462317746237243,0.5669227933608405,0.20190606733252017,1.677310816413372
SG,2.587295247661949,1.2342544376557172,0.7778511885912842,4.2574522786884605
IN,5.610254098217968,3.1627007407341927,1.0980644708791356,9.626770073288949
LK,3.3356027894861264,1.1657287643576864,1.5461061876142432,5.05904087678566
MM,1.710128413291328,0.8681664297232549,0.46863086127918757,2.895991357216164
MY,2.6038758292296063,1.2366897014921228,0.8859887898642999,4.32823458713181
KH,2.4358833336778476,0.9460233443018113,1.0283448779750595,3.8156909787921727
ID,6.5235240459731605,2.0737186612959357,3.282561665451986,9.751309320292789
BS,4.5131460523139095,1.6825728386949534,1.8821627609836202,6.912963311690774
PY,2.291078354521725,1.1384607328998677,0.6658755362670681,3.8620956834919045
AG,3.672427099352208,1.3896384696043977,1.5539381325930077,5.695837246822848
CF,1.1758900853558238,0.6106190513940505,0.29201896827285473,2.001007439902057
