country,imported,y_m,y_s,y_l,y_u,SI
GP,375,134.52391666666668,315.7918621063412,-181.26794543967455,450.3157787730079,0.5280376927023545
MQ,261,113.97066666666666,249.40436760435185,-135.4337009376852,363.37503427101854,0.6042908245267186
DO,277,123.30983333333333,134.3765153696762,-11.066682036342883,257.68634870300957,0.4537889193329
EC,71,35.650333333333336,50.350385529637315,-14.700052196303979,86.00071886297064,0.5127238233354482
CO,132,104.44366666666667,101.10961298107055,3.3340536855961176,205.5532796477372,0.6127639987537552
HT,66,45.012166666666666,74.09037124592804,-29.078204579261374,119.1025379125947,0.5806871018642101
TH,219,268.0025,188.67522709421527,79.32727290578472,456.67772709421524,0.5774960087473884
IN,123,172.35058333333333,141.7523575499232,30.59822578341013,314.10294088325657,0.6124901846872939
BO,47,36.48475,75.16265984436637,-38.677909844366376,111.64740984436636,0.6993892098057829
JM,28,38.431666666666665,93.61849932987897,-55.18683266321231,132.05016599654564,0.8429714744474271
HN,32,23.777416666666667,26.464921716452476,-2.687505049785809,50.24233838311915,0.6071005439776253
VE,51,69.709,116.09813398521996,-46.38913398521996,185.80713398521996,0.6094174143325408
BR,132,198.35,132.444208027147,65.905791972853,330.79420802714696,0.6166984511376823
PF,24,15.592916666666667,31.061129534226477,-15.46821286755981,46.65404620089315,0.5232796270376646
MM,45,60.582166666666666,88.14147502415732,-27.55930835749065,148.72364169082397,0.5883174715427005
CG,18,25.627499999999998,47.428415636821555,-21.800915636821557,73.05591563682155,0.8174966095543714
GF,13,13.013916666666667,35.351973368445556,-22.33805670177889,48.36589003511222,0.6633756931386084
NI,54,48.69691666666667,53.20376454386993,-4.506847877203263,101.90068121053659,0.7183370484183637
KE,23,41.75033333333334,49.46865016208891,-7.718316828755576,91.21898349542225,0.6609232384904068
BD,18,32.6735,47.29749145904768,-14.62399145904768,79.97099145904767,0.7025138057038359
AO,10,9.730833333333333,19.682123025792315,-9.951289692458982,29.412956359125648,0.9042953076825611
TT,8,11.84875,24.0341217957967,-12.1853717957967,35.8828717957967,0.6110880198165292
ID,44,109.10025,96.04643247326634,13.053817526733667,205.14668247326634,0.5189758562336334
MX,26,35.23491666666667,46.713850486074826,-11.478933819408155,81.9487671527415,0.7318291987550676
CD,11,10.422083333333333,14.574103075067256,-4.152019741733923,24.99618640840059,0.7104195436951743
DJ,8,7.439166666666666,18.182996722526955,-10.74383005586029,25.62216338919362,0.6991525881146435
GT,12,16.844583333333333,23.338133434547924,-6.493550101214591,40.18271676788126,0.6451066780302482
LK,11,45.2345,74.6827537257016,-29.448253725701605,119.9172537257016,0.36869715210413534
MV,20,58.7825,74.07537720505817,-15.292877205058176,132.85787720505817,0.488124477728768
CU,9,30.044916666666666,43.75157151745449,-13.706654850787821,73.79648818412116,0.4054731836624059
PH,31,93.49583333333334,120.49354947371796,-26.997716140384625,213.9893828070513,0.48123832792262117
BB,5,9.582833333333333,24.21037491803008,-14.627541584696747,33.79320825136341,0.6641827719807536
DM,6,13.412666666666667,30.267827883351963,-16.855161216685296,43.68049455001863,0.6181530959167554
SV,6,14.349333333333334,32.12025142150787,-17.770918088174533,46.4695847548412,0.5085916000524177
GQ,11,26.680666666666667,35.87094267435756,-9.19027600769089,62.551609341024225,0.5404362980131279
ET,3,3.51225,11.8730649778215,-8.3608149778215,15.3853149778215,0.6056022624029073
SO,4,8.010833333333334,16.089653808926546,-8.078820475593211,24.10048714225988,0.5933948518698396
CI,7,16.829083333333333,25.305111731341974,-8.47602839800864,42.13419506467531,0.5843909228568731
TG,3,3.7567500000000003,12.606496258989507,-8.849746258989507,16.363246258989506,0.888000888000888
KH,8,18.06275,28.864989006175232,-10.802239006175231,46.92773900617523,0.5772862290689457
TZ,5,6.821916666666667,19.885938214862175,-13.064021548195509,26.707854881528842,0.7420680515708817
GA,2,1.467,5.189468310564726,-3.7224683105647256,6.656468310564726,0.8462647822324777
CM,10,19.261333333333333,22.281699514374,-3.020366181040668,41.54303284770734,0.6822712567210425
WS,1,0.9595833333333333,3.952504973022519,-2.9929216396891856,4.9120883063558525,0.9793748671061026
FJ,1,1.4578333333333333,11.945405237165387,-10.487571903832054,13.40323857049872,0.8137248253882146
CF,1,1.1540833333333333,4.365900274267602,-3.211816940934269,5.519983607600936,0.9284691864288754
AR,2,4.222333333333333,11.056020203057521,-6.833686869724188,15.278353536390854,0.6428456634702951
PE,5,9.807333333333332,18.077950600548686,-8.270617267215354,27.885283933882018,0.6753410472288506
SL,1,1.8206666666666667,7.443308301277993,-5.622641634611326,9.263974967944659,0.7090522335145355
EG,1,2.24,7.729637337740298,-5.489637337740298,9.969637337740298,0.6172839506172839
SD,1,1.1311666666666667,4.075078814336576,-2.9439121476699097,5.2062454810032435,0.9384531164463908
GY,1,1.2418333333333333,4.8006657274694815,-3.5588323941361484,6.042499060802815,0.8921269794067357
MZ,1,2.8905,11.089570937118925,-8.199070937118925,13.980070937118924,0.5140727412928929
UG,2,5.185333333333333,10.96362648106729,-5.778293147733957,16.148959814400623,0.5566895527927259
ER,3,4.9790833333333335,9.316466193535613,-4.337382860202279,14.295549526868946,0.7519660779747047
GN,1,1.8903333333333334,5.726363844703039,-3.8360305113697057,7.616697178036373,0.6919617114519663
CR,10,16.80075,20.580387786549025,-3.7796377865490243,37.381137786549026,0.7268950806724935
SN,7,12.024916666666666,17.38974146037372,-5.364824793707054,29.414658127040386,0.7161397991230798
BJ,1,1.5954166666666667,5.658996191209514,-4.063579524542847,7.254412857876181,0.7705891796436024
ML,1,2.6140833333333333,10.371733907144781,-7.757650573811448,12.985817240478115,0.5533906707556089
BF,3,15.299833333333332,33.76721340896916,-18.46738007563583,49.067046742302495,0.32787183854133467
NG,2,3.94875,12.556898921862626,-8.608148921862625,16.505648921862626,0.6724101702038243
GH,1,3.4731666666666667,11.976876055533747,-8.50370938886708,15.450042722200415,0.44711054808301354
MY,6,16.97533333333333,28.54083271377751,-11.56549938044418,45.51616604711084,0.5222992774859995
VN,2,8.434083333333334,25.413824164333963,-16.97974083100063,33.84790749766729,0.3833590237123529
SG,2,19.127833333333335,51.99480328921069,-32.86696995587735,71.12263662254402,0.1893237198955564
LC,1,3.76425,17.81358881064819,-14.049338810648191,21.577838810648192,0.4197932518234769
PR,3,15.244583333333333,34.9982054991943,-19.753622165860968,50.24278883252763,0.328864731541325
PY,4,12.062999999999999,33.55082060566782,-21.487820605667824,45.613820605667826,0.4980389715495237
PK,1,5.455,19.20011915134462,-13.74511915134462,24.65511915134462,0.30983733539891556
PG,1,7.04925,26.22273010812382,-19.17348010812382,33.27198010812382,0.24847035438084292
